Day,Person,Menu1,Menu2,Menu3,Menu4,Menu5,Menu6,Menu7,Menu8
tue,136,작은밥,크림스프,순살돈까스데미S,미트토마토스파게티,수제피클,배추김치,그린샐러드,
wed,103,취나물밥양념장,돈육김치찌개,오징어야채볶음,깻잎멸치조림,구운김양념장,깍두기,알새우칩,
mon,77,미니야채볶음밥,,짜장면,후르츠탕수육,단무지무침,배추김치,요구르트,
tue,178,흑미밥,두부된장찌개,동인동찜갈비,콘버터구이,김가루대파무침,배추김치,그린샐러드,
wed,145,차조밥,매콤콩나물국,안동찜닭,온두부양념장,꽃맛살샐러드,깍두기,매실주스,
thu,105,기장밥,육개장,불맛제육볶음,삼색계란찜,단배추겉절이,배추김치,그린샐러드,
fri,101,베이컨김치볶음밥,유부장국,비엔나떡볶음,연근땅콩조림,만다린샐러드요거트d,배추김치,약과,
mon,71,백미밥,등뼈해장국,모듬장조림,부추양파겉절이,,깍두기,석류주스,
tue,160,기장밥,청량된장찌개,고추장불고기,비빔막국수,상추쌈쌈장,배추김치,호박죽,
wed,141,흑미밥,부대찌개,생선까스콘소스,매콤어묵볶음,얼갈이무생채,깍두기,그린샐러드,
thu,145,차조밥,북어계란국,춘천닭갈비,알감자엿장조림,구운버섯샐러드,배추김치,숭늉,
fri,96,완두콩밥,미소장국,렌틸콩카레소스,교자만두비빔야채,견과류멸치볶음,배추김치,석류주스,
mon,72,백미밥,설렁탕소면,오징어김치전,한식잡채,,깍두기,미숫가루,
tue,174,흑미밥,들깨미역국,버섯간장불고기,양념어묵,매콤콩나물무침,배추김치,숭늉,
wed,111,차조밥,닭개장,돈육메추리알조림,맛살계란찜,단배추겉절이,깍두기,그린샐러드유자D,
thu,131,쌀밥,해물짬뽕국,마파두부소스,새우튀김머스타드,실곤약야채무침,배추김치,홍초,
fri,93,잡곡밥,사골된장찌개,돈육김치찜,도토리묵무침,양배추찜양념장,포기김치,그린샐러드키위D,
mon,70,후리가케주먹밥,가쓰오우동,로제떡볶이,모듬튀김케찹,그린샐러드오리엔탈,단무지,,
tue,134,차조밥,얼큰어묵국,뼈없는안동찜닭,어슷우엉조림,오이양파무침,배추김치,호박죽,
wed,128,취나물밥양념장,청양된장찌개,제육볶음,맛살콩나물냉채,구이김,포기김치,두유,
thu,122,베이컨김치볶음밥,들깨미역국,계란후라이,돈까스샐러드,김가루무침,단무지,핫도그케찹,
fri,99,흑미밥,감자수제비국,제육김치볶음,온두부양념장,배추무생채,고추마늘장아찌,콘슬로우,
mon,53,잡곡밥,닭개장,오징어김치전,감자조림,브로콜리초장,깍두기,블루베리머핀,
