Date,Day,Person,Menu1,Menu2,Menu3,Menu4,Menu5,Menu6,Menu7
2021-08-12,wed,112,참치야채비빔밥,미소된장국,돈육메알장조림,연두부*양념장,김가루무침,배추김치,석류주스
2021-08-13,thu,59,흑미밥/쌀밥,소고기국밥(큰그릇),새우까스*탈탈소스,매콤어묵볶음,피자또띠아,깍두기,그린샐러드
2021-08-16,fri,,대체공휴일,,,,,,
2021-08-17,mon,130,쌀밥/차조밥,황태미역국,제육볶음,감자고로케*케찹,고깃집콩나물무침,배추김치,미숫가루
2021-08-18,tue,136,작은밥,크림스프,순살돈까스/데미S,미트토마토스파게티,수제피클,배추김치,그린샐러드
2021-08-19,wed,103,쌀밥/취나물밥/양념장,돈육김치찌개,오징어야채볶음,깻잎멸치조림,구운김*양념장,깍두기,알새우칩
2021-08-20,mon,77,미니야채볶음밥,,짜장면,후르츠탕수육,단무지무침,배추김치,요구르트
2021-08-23,tue,178,쌀밥/흑미밥,두부된장찌개,동인동찜갈비,콘버터구이,김가루대파무침,배추김치,그린샐러드
2021-08-24,wed,145,쌀밥/차조밥,매콤콩나물국,안동찜닭,온두부*양념장,꽃맛살샐러드,깍두기,매실주스
2021-08-25,thu,105,쌀밥/기장밥,육개장,불맛제육볶음,삼색계란찜,단배추겉절이,배추김치,그린샐러드
2021-08-26,fri,101,베이컨김치볶음밥,유부장국,비엔나떡볶음,연근땅콩조림,만다린샐러드&요거트d,배추김치,약과
2021-08-27,mon,71,백미밥,등뼈해장국,모듬장조림,부추양파겉절이,,깍두기,석류주스
2021-08-30,tue,160,쌀밥/기장밥,청량된장찌개,고추장불고기,비빔막국수,상추쌈*쌈장,배추김치,호박죽
2021-08-31,wed,141,쌀밥/흑미밥,부대찌개,생선까스*콘소스,매콤어묵볶음,얼갈이무생채,깍두기,그린샐러드
2021-09-01,thu,145,쌀밥/차조밥,북어계란국,춘천닭갈비,알감자엿장조림,구운버섯샐러드,배추김치,숭늉
2021-09-02,fri,96,쌀밥/완두콩밥,미소장국,렌틸콩카레소스,교자만두&비빔야채,견과류멸치볶음,배추김치,석류주스
2021-09-03,mon,72,백미밥,설렁탕*소면,오징어김치전,한식잡채,,깍두기,미숫가루
2021-09-06,tue,174,쌀밥/흑미밥,들깨미역국,버섯간장불고기,양념어묵,매콤콩나물무침,배추김치,숭늉
2021-09-07,wed,111,쌀밥/차조밥,닭개장,돈육메추리알조림,맛살계란찜,단배추겉절이,깍두기,그린샐러드&유자D
2021-09-08,thu,131,쌀밥,해물짬뽕국,마파두부소스,새우튀김*머스타드,실곤약야채무침,배추김치,홍초
2021-09-09,fri,93,쌀밥/잡곡밥,사골된장찌개,돈육김치찜,도토리묵무침,양배추찜*양념장,포기김치,그린샐러드*키위D
2021-09-10,mon,70,후리가케주먹밥,가쓰오우동,로제떡볶이,모듬튀김*케찹,그린샐러드*오리엔탈,단무지,
2021-09-13,tue,134,차조밥/쌀밥,얼큰어묵국,뼈없는안동찜닭,어슷우엉조림,오이양파무침,배추김치,호박죽
2021-09-14,wed,128,취나물밥&양념장,청양된장찌개,제육볶음,맛살콩나물냉채,구이김,포기김치,두유
2021-09-15,thu,122,베이컨김치볶음밥,들깨미역국,계란후라이,돈까스샐러드,김가루무침,단무지,핫도그&케찹
2021-09-16,fri,99,흑미밥/쌀밥,감자수제비국,제육김치볶음,온두부&양념장,배추무생채,고추마늘장아찌,콘슬로우
2021-09-17,mon,53,잡곡밥/쌀밥,닭개장,오징어김치전,감자조림,브로콜리&초장,깍두기,블루베리머핀
2021-09-20,tue,,한가위,,,,,,
2021-09-21,wed,,한가위,,,,,,
2021-09-22,thu,,한가위,,,,,,
2021-09-23,fri,81,흑미밥/쌀밥,돈육김치찌개,오징어까스&타르타르s,쫄면야채무침,땅콩우엉조림,열무김치,숭늉
2021-09-24,mon,61,잡곡밥/쌀밥,소고기국밥&미니소면,감자야채전,견과류멸치볶음,김가루대파무침,깍두기,약과
2021-09-27,tue,177,차조밥/쌀밥,북어채계란국,고추장불고기,야채고로케*케찹,오이부추겉절이,배추김치,오미자차
2021-09-28,wed,170,강낭콩밥/쌀밥,참치김치찌개,비엔나브로콜리볶음,사각어묵조림,치커리유자생채,양념깻잎지,바나나
2021-09-29,mon,150,완두콩밥/쌀밥,떡만두국,짜장소스,칠리표고탕수육,단무지무침,배추김치,비피더스
2021-09-30,tue,,흑미밥/쌀밥,부대찌개,돈민찌두부조림,감자채볶음,열무나물무침,배추김치,식혜
2021-10-01,wed,62,잡곡밥/쌀밥,순대국밥,오징어초무침,야채부추전,오이고추된장무침,깍두기,요구르트
2021-10-04,thu,,대체휴일,,,,,,
2021-10-05,fri,119,차조밥/쌀밥,김치공나물국,크리미어니언치킨까스,가지마파소스볶음,마카로니샐러드,배추김치,오미자차
2021-10-06,mon,129,완두콩밥/쌀밥,뜨끈어묵국,순살야채찜닭,국물떡볶이,모듬튀김,배추김치,그린샐러드&키위D
2021-10-07,tue,83,흑미밥/쌀밥,돈등뼈감자탕,한식잡채,단호박견과찜,부추양파겉절이,깍두기,두유
2021-10-08,wed,64,잡곡밥/쌀밥,맑은소고기무국,비빔메밀국수,군만두,연근땅콩조림,배추김치,약과&수정과
2021-10-11,thu,,한글날 대체휴일,,,,,,
2021-10-12,fri,145,차조밥/쌀밥,얼큰 오징어무국,비엔나소시지떡볶음,우엉튀김조림,샐러드스파게티,배추김치,밤만쥬
2021-10-13,mon,123,보리열무비빔밥,청양초된장찌개,청양초된장찌개,볶음고추장,맛김가루,포기김치,요플레
2021-10-14,tue,110,완두콩밥/쌀밥,미니우동,피자치즈돈까스,브로콜리맛살볶음,단무지부추무침,포기김치,만다린샐러드
2021-10-15,wed,54,미니쌀밥,바지락칼국수,단호박&고구마튀김,김치&고기찐만두,무양파장아찌,포기김치,미숫가루
